distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.0091586113,3.5203671455,4.9175992012,-5.76169341952E-10,70,2.2220615222
-0.0222738981,3.5520012379,4.9291024208,-8.28800396775E-09,71,2.2557221797
-0.0125954151,3.5520012379,4.9291024208,-1.49864482923E-09,72,2.2557221797
-0.0342007875,3.5866057873,4.9258241653,-0.00000003,73,2.2904816647
-0.061627984,3.6124579907,4.9413285255,-1.75547701632E-07,74,2.3206266744
-0.061627984,3.6402771473,4.9639949799,-1.75547701632E-07,75,2.356510844
-0.0894534588,3.6705451012,4.9887757301,-5.36849652161E-07,76,2.3956290573
-0.1348478794,3.7020878792,5.0216159821,-1.83905038139E-06,77,2.4411639779
-0.1348478794,3.7428574562,5.0371751785,-1.83905038139E-06,78,2.4848016566
-0.153429389,3.7774586678,5.0487241745,-2.70886230641E-06,79,2.5212793642
-0.1564309597,3.8074150085,5.0616464615,-0.000002871,80,2.5539040152
-0.1564309597,3.8361549377,5.0687251091,-0.000002871,81,2.5835028459
-0.1721972227,3.859610796,5.084189415,-3.82947899126E-06,82,2.6115977217
-0.1721972227,3.859610796,5.084189415,-3.82947899126E-06,83,2.6115977217
-0.184697628,3.8837630749,5.0984716415,-4.72547225432E-06,84,2.6396568481
-0.2151834965,3.9013595581,5.1238327026,-7.47288232323E-06,85,2.6705246248
-0.2175079584,3.9288392067,5.1352324486,-7.71767914818E-06,86,2.7002750079
-0.2212408781,3.9288392067,5.1352324486,-8.121895249E-06,87,2.7002750079
-0.2416362762,3.9554336071,5.1442136765,-1.05815104831E-05,88,2.7283450024
-0.2683050632,3.9758429527,5.163163662,-0.000014486,89,2.7561953765
-0.2914824486,3.9943680763,5.1890096664,-1.85737027447E-05,90,2.787994687
-0.298863411,4.0143861771,5.2139968872,-2.00207116045E-05,91,2.8200116444
-0.3304752111,4.0427622795,5.2282905579,-2.70693563665E-05,92,2.8517844663
-0.3304752111,4.0623326302,5.2554469109,-2.70693563665E-05,93,2.8852578308
-0.354834795,4.0799570084,5.2832984924,-3.35073331359E-05,94,2.9182173408
