distances,positions[0],positions[1],rewards,steps,travelled_distance
-0.0565901995,2.3048796654,5.0665049553,-1.35920491917E-07,26,0.9842470744
-0.050290823,2.3351540566,5.0620045662,-9.53954127519E-08,27,1.0148541367
-0.0469511747,2.4100196362,5.0496797562,-7.76248282425E-08,28,1.0907274255
-0.0495996475,2.4491512775,5.0465054512,-9.15160009211E-08,29,1.1299876034
-0.0516194105,2.5229344368,5.0419926643,-1.03157399484E-07,30,1.2039086413
-0.0703812838,2.5548810959,5.051615715,-2.61476591953E-07,31,1.2372731753
-0.0556515455,2.584151268,5.0457544327,-1.29268572475E-07,32,1.2671244334
-0.0520150661,2.6546397209,5.0302057266,-1.05547688998E-07,33,1.3393074248
-0.0489826202,2.6931023598,5.0234556198,-8.81428934853E-08,34,1.3783578861
-0.0589388609,2.7324557304,5.0220561028,-1.53555889278E-07,35,1.4177361343
-0.0783470869,2.7705097199,5.0219035149,-3.60686446388E-07,36,1.4557904297
-0.0749462843,2.8059916496,5.0322694778,-3.15726897389E-07,37,1.4927555555
-0.0569642782,2.8743207455,5.014108181,-1.38633778485E-07,38,1.5634570268
-0.0326188803,2.9105167389,4.9922428131,-0.000000026,39,1.6057446639
-0.0197762251,2.9471621513,4.9789147377,-5.80084756131E-09,40,1.6447385589
-0.0174533129,3.0212798119,4.9576096535,-0.000000004,41,1.7218575204
-0.0309915543,3.0631120205,4.9627099037,-2.23249931741E-08,42,1.7639994974
-0.0064195395,3.1052389145,4.9524297714,-1.98414259233E-10,43,1.807362573
0.0035861731,3.1432139874,4.9390249252,3.45903529688E-11,44,1.8476341021
0.0100288391,3.2133796215,4.9167585373,7.56507531161E-10,45,1.9212480155
0.013261199,3.245827198,4.9098768234,1.74907986281E-09,46,1.9544173268
0.0179231167,3.2766098976,4.9030208588,4.31819111905E-09,47,1.9859542709
0.0272432566,3.3051993847,4.8966388702,1.51648571888E-08,48,2.0152474194
0.0141011477,3.3319621086,4.8907666206,2.1029291622E-09,49,2.0426468118
0.0093798637,3.3941197395,4.9018125534,6.18943279499E-10,50,2.1057782914
-0.0042331219,3.4233951569,4.9061121941,-5.6891001552E-11,51,2.1353677654
-0.0096746683,3.4800992012,4.917675972,-6.79155961126E-10,52,2.1932389119
-0.0276629925,3.5079975128,4.9318366051,-1.58766451901E-08,53,2.2245253199
-0.0264499187,3.540938139,4.9334740639,-1.38782366933E-08,54,2.2575066194
-0.0483170748,3.5859000683,4.9517450333,-8.4598597478E-08,55,2.3060391179
-0.0818676949,3.609017849,4.9786348343,-4.11527583329E-07,56,2.3415002683
-0.0941735506,3.6407649517,4.9937357903,-6.26394733854E-07,57,2.3766558852
-0.1061427593,3.6709702015,5.0072727203,-8.96875961313E-07,58,2.4097558186
-0.1311554909,3.7276706696,5.0341072083,-1.69207923166E-06,59,2.4724856586
-0.1687633991,3.7545287609,5.0520219803,-3.60492352182E-06,60,2.5047702699
-0.1861795187,3.7822890282,5.0716614723,-4.84012940642E-06,61,2.5387753002
-0.216463685,3.834094286,5.1177067757,-7.60705236693E-06,62,2.6080858672
-0.2162320614,3.8696517944,5.1280903816,-7.58265905775E-06,63,2.645128487
-0.2200949192,3.9003071785,5.1363482475,-7.99634116181E-06,64,2.6768766353
-0.2781188488,3.920621872,5.1582388878,-1.61343893356E-05,65,2.7067411109
-0.2716482878,3.9387118816,5.1880083084,-1.50342642485E-05,66,2.741575962
-0.2716482878,3.9710478783,5.1957883835,-1.50342642485E-05,67,2.774834739
-0.3229221106,3.9991765022,5.2159013748,-2.52554208715E-05,68,2.8094143848
-0.3906953931,4.038880825,5.2723889351,-4.47276554849E-05,69,2.8784598605
-0.4251559973,4.0520648956,5.3096265793,-5.76376402914E-05,70,2.9179625422
-0.4382954836,4.0879392624,5.3689422607,-6.31483852597E-05,71,2.9872829596
-0.4747614264,4.1067061424,5.3998117447,-8.02578537159E-05,72,3.0234094156
-0.481595993,4.1369066238,5.4159116745,-8.37741168112E-05,73,3.0576333373
-0.5085332394,4.1705183983,5.4297232628,-9.86323313568E-05,74,3.0939721781
-0.5504614711,4.2105522156,5.4779663086,-0.0001250956,75,3.1566626718
-0.5687091351,4.2423601151,5.5220417976,-0.0001379532,76,3.2110169835
-0.6033969522,4.2423601151,5.5220417976,-0.0001647671,77,3.2110169835
-0.6106491685,4.2655858994,5.5673322678,-0.0001707798,78,3.2619155468
-0.6310257316,4.2760186195,5.5875883102,-0.0001884527,79,3.2847003862
-0.620018959,4.2991261482,5.5920143127,-0.0001787624,80,3.3082279738
-0.643497467,4.3325982094,5.5970797539,-0.0001998489,81,3.3420811505
-0.6569393277,4.3719277382,5.6331191063,-0.0002126361,82,3.3954257543
-0.6599963307,4.3876070976,5.640452385,-0.0002156184,83,3.4127352687
-0.6676454544,4.4138345718,5.6531057358,-0.0002232024,84,3.4418554969
-0.6570279598,4.4316277504,5.6502919197,-0.0002127222,85,3.4598697903
